Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2016-12-09 02:43:39;2016-12-09 09:03:28;71%;6:19;;Stressful day;60;5065
2016-12-10 02:50:14;2016-12-10 09:41:24;70%;6:51;;;64;6735
2016-12-11 02:14:38;2016-12-11 11:04:21;92%;8:49;;;58;4290
2016-12-12 02:26:11;2016-12-12 09:02:05;76%;6:35;;Drank;66;9575
2016-12-13 02:48:55;2016-12-13 09:00:42;71%;6:11;;Drank;60;7687
2016-12-14 02:33:10;2016-12-14 09:01:46;82%;6:28;;;61;4985
2016-12-15 02:59:24;2016-12-15 08:51:15;58%;5:51;;;66;4974
2016-12-16 03:17:34;2016-12-16 09:01:21;65%;5:43;;;64;7608
2016-12-18 02:41:53;2016-12-18 11:13:18;94%;8:31;;;67;6983
2016-12-19 03:03:27;2016-12-19 08:58:32;54%;5:55;;;60;4623
2016-12-20 02:48:27;2016-12-20 09:15:04;78%;6:26;;;80;11964
2016-12-21 03:05:19;2016-12-21 09:00:38;53%;5:55;;;69;4859
2016-12-22 03:19:46;2016-12-22 09:00:16;49%;5:40;;Drank;59;7512
2016-12-23 02:26:39;2016-12-23 09:00:31;70%;6:33;;;73;3792
2016-12-24 03:27:56;2016-12-24 12:10:23;65%;8:42;;;96;7069
2016-12-25 02:37:09;2016-12-25 08:35:42;37%;5:58;;;92;5594
2016-12-26 01:31:21;2016-12-26 09:00:27;64%;7:29;;;87;10909
2016-12-27 01:39:30;2016-12-27 08:00:31;45%;6:21;;;68;4385
2016-12-28 03:12:32;2016-12-28 09:00:32;47%;5:47;;Drank:Stressful day;63;15644
2016-12-29 01:45:40;2016-12-29 09:04:12;62%;7:18;;;63;12833
2016-12-30 02:54:05;2016-12-30 08:59:52;50%;6:05;;;66;12198
2016-12-31 02:33:34;2016-12-31 10:27:58;65%;7:54;;;82;10758
2017-01-01 04:13:50;2017-01-01 10:28:22;61%;6:14;;Drank;89;13681
2017-01-02 03:23:37;2017-01-02 09:00:30;53%;5:36;;;53;4125
2017-01-03 01:32:15;2017-01-03 08:01:37;72%;6:29;;;73;11019
2017-01-04 03:12:25;2017-01-04 09:01:43;65%;5:49;;;60;7540
2017-01-05 03:04:28;2017-01-05 08:36:33;64%;5:32;;;60;4271
2017-01-06 03:24:30;2017-01-06 09:02:52;64%;5:38;;Drank;67;7828
2017-01-07 04:10:00;2017-01-07 10:54:39;63%;6:44;;Drank;81;6778
2017-01-08 04:02:32;2017-01-08 11:07:01;68%;7:04;;;71;6688
2017-01-09 02:19:59;2017-01-09 09:06:01;69%;6:46;;;70;8568
2017-01-10 02:56:52;2017-01-10 09:01:58;67%;6:05;;;67;8832
2017-01-11 03:12:58;2017-01-11 08:55:46;72%;5:42;;;72;4716
2017-01-12 03:14:58;2017-01-12 09:01:19;69%;5:46;;;74;4208
2017-01-13 03:42:00;2017-01-13 09:02:37;62%;5:20;;Drank;71;5969
